1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,5,9,9,4,1,1,
1,6,6,9,4,1,1,
1,6,9,9,4,1,1,
1,5,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,10,7,6,1,1,
1,6,9,9,4,0,1,
1,1,5,9,4,1,1,
1,2,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,4,0,
0,5,9,9,4,1,1,
1,6,9,9,4,0,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,10,10,6,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,1,5,9,4,1,1,
1,1,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,6,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,0,5,
5,9,9,9,4,1,1,
1,6,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,5,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,10,7,6,1,1,
1,6,9,9,4,1,1,
1,5,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,6,9,4,1,1,
1,6,9,9,4,1,1,
1,5,9,9,4,5,1,
1,6,9,9,4,4,1,
1,6,6,9,4,1,1,
1,6,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,1,5,9,4,1,1,
1,6,10,7,6,1,1,
1,1,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,5,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,5,9,9,5,1,1,
1,6,9,9,4,4,1,
1,6,9,9,4,1,1,
1,6,10,7,6,1,1,
1,6,9,9,4,1,1,
1,5,9,9,4,1,1,
1,1,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,8,8,4,
4,4,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,9,4,1,
1,6,9,9,4,5,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,6,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,8,5,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,5,5,2,1,1,
1,6,9,9,4,1,1,
1,6,5,9,4,1,1,
1,6,9,9,5,1,1,
1,6,10,7,6,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,0,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,5,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,2,5,9,8,5,1,
1,6,6,9,4,1,1,
1,1,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,1,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,0,1,
1,6,9,9,4,1,1,
1,6,9,9,9,4,1,
1,6,9,9,4,1,1,
1,5,9,9,4,4,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,5,9,9,4,1,1,
1,5,9,9,4,1,1,
1,2,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,5,9,9,4,1,1,
1,6,9,9,4,0,5,
5,8,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,5,1,1,
1,6,9,9,4,1,1,
1,6,6,9,4,1,1,
1,6,9,9,4,1,1,
1,6,5,9,4,1,1,
1,6,9,9,9,4,1,
1,6,6,9,4,1,1,
1,6,9,9,4,1,1,
1,6,10,7,2,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,5,9,9,8,5,1,
1,6,9,9,4,1,1,
1,6,10,7,6,1,1,
1,6,10,7,6,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,10,7,6,1,1,
1,6,9,9,4,1,1,
1,6,9,9,5,1,1,
1,6,9,9,4,1,1,
1,6,10,7,6,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,10,7,6,5,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,2,5,9,5,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,5,9,9,4,1,1,
1,6,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,6,10,6,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,5,1,
1,6,9,9,9,4,5,
5,9,9,9,4,4,1,
1,6,9,9,4,1,1,
1,1,5,9,4,1,1,
1,2,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,6,9,4,4,1,
1,6,9,9,4,4,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,0,1,
1,6,9,9,4,1,1,
1,6,9,9,9,4,1,
1,6,9,9,4,0,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,6,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,10,7,6,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,8,5,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,5,10,6,1,1,
1,6,9,9,4,1,1,
1,6,9,9,5,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,0,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,5,9,4,1,1,
1,6,9,9,4,1,1,
1,5,9,9,4,1,1,
1,6,9,9,4,1,1,
1,2,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,5,9,9,4,1,1,
1,6,9,9,8,5,1,
1,6,9,9,8,5,1,
1,6,9,9,4,1,1,
1,6,10,7,6,1,1,
1,6,10,7,6,1,1,
1,6,9,9,4,1,1,
1,6,9,9,5,0,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,6,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,6,9,4,5,1,
1,6,9,9,4,1,1,
1,2,5,9,4,1,1,
1,6,10,7,6,1,1,
1,6,9,9,4,1,1,
1,1,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,5,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,5,9,4,1,1,
1,6,9,9,4,0,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,5,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,9,4,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,5,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,8,5,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,10,10,7,6,1,
1,6,9,9,5,1,1,
1,6,9,9,4,1,1,
1,6,9,9,5,2,1,
1,6,9,9,4,1,1,
1,6,9,9,8,5,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,9,4,1,
1,6,6,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,1,5,9,4,0,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,4,1,
1,6,9,9,9,5,1,
1,6,9,9,4,1,1,
1,2,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,5,1,
1,6,9,9,4,5,1,
1,6,10,7,6,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,1,5,9,4,1,1,
1,5,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,5,1,
1,6,9,9,9,4,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,5,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,5,1,1,
1,1,6,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,2,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,8,5,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,5,9,4,4,1,
1,6,9,9,4,1,1,
1,6,9,9,4,0,1,
1,6,9,9,4,1,1,
1,1,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,5,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,0,5,
5,9,9,9,9,4,1,
1,5,9,9,4,1,1,
1,1,5,9,4,1,1,
1,1,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,9,4,1,
1,6,9,9,4,1,1,
1,2,5,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,5,5,
5,9,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
1,6,9,9,4,1,1,
